artist_name,spotify_id,genres,popularity,followers
Papon,2FPwX3Gh0w4Qr1v3zSTtcT,filmi;indian folk;modern bollywood,65,3583601
Maria Roe Vincent,3KrlaLub4zgw8yNCLJq4nC,,38,3472
Malavika,2KYWcjtMcKmqEWjpjB6XpT,filmi;tollywood,49,341408
Suchitra,3R0YzDT1gl2mMDLMrgdNjR,tamil pop,64,48790
Andrea Jeremiah,5yoqPvofOHrBc3Z6VZyTsj,filmi;kollywood;tamil pop,61,506215
Hard Kaur,1Xoow41U5fn5DwlMlYt7Gw,desi hip hop;modern bollywood,55,74042
Country Chicken,47668odEysUnED81I9Ncqm,,36,253
Chaitra,4RUN8jnm64ftsLkAEhybFB,,41,15375
Vineeth Sreenivasan,2uocTdMBXjTsS7QmAj7src,filmi;mollywood,65,2351185
Arjun Kanungo,3bAFvRjPZrpRz9Ox1sElQa,desi hip hop;desi pop;filmi;modern bollywood,60,3015068
Deva,1d4uM0g9449nE9TV5KeWch,clap and tap,31,21433
Sam C.S.,6hnWRPzGGKiapVX1UCdEAC,classic soul;soul;vocal jazz,70,1701916
Velmurugan,70jbLrKZefy2ynyGrHvVNi,filmi;tamil pop,58,189384
Harish Swaminathan,3DFIYtEdg2hh7dz3g7idaX,,39,3172
Sathyaprakash,4sdcjfLzvLC1IUYFwCAWHn,filmi;tamil pop,60,297397
Deepak Blue,5iFKS1bnBNFWBAmd7mi0vf,tollywood,61,60664
Santosh Hariharan,2bgedszFVmHCgoqkAUXrBf,,37,5820
Aravind Srinivas,4D3Rik34ofGp07ieu9zENY,,50,11246
Ranjith Govind,7zFlr6Y537SdALqy0Xfvth,filmi;tamil pop,65,1019116
Narmatha,0imhW37M0DCNjMpIxJ8qws,,21,31
Pooja,1Ju3SIITQWtyT3SOnONE40,kollywood,57,46017
Poorvi Koutish,2TmWCKfrFiN6j5eBcIA13p,,33,1211
Nadisha Thomas,0iWrT9e3JMHcxLgSEo3bTu,chennai indie,36,1583
Jithin Raj,2GkBjSH85M2uKGVtFL5eua,tamil pop,55,55435
Diwakar,5BdXSKDC9KQQpdQ7V3cZxD,filmi;tamil pop,43,17295
DIVINE,4Ai0pGz6GhQavjzaRhPTvz,desi hip hop;desi trap;hindi hip hop,68,5801563
Balan Kash,58WvdKjSjjthpO3u9t0bfe,desi hip hop;malaysian hip hop;malaysian tamil pop;malaysian tamil rap;tamil pop,26,57022
Sarath Santosh,4Qv21cLGHUxyffRHV7vaUp,tollywood,45,5333
Guna,6gjAbs229sNHhSskJpQ2mG,,25,759
Arjun,3bAFvRjPZrpRz9Ox1sElQa,desi hip hop;desi pop;filmi;modern bollywood,60,3015068
Charles Bosco,2aZMJZvvSb072ZPDKRmep1,tamil hip hop,24,7399
Sooraj Santhosh,66PGnr0hE7ZIcWir6IwitB,tollywood,64,400119
Srimathumitha,6QrOW5VVKkMPUWFYGTR4kB,kollywood;tamil pop,50,54620
Chinna Ponnu,23FJvNYt7vCPHtpOQUzDN0,tamil pop,54,94983
Magizhini Manimaaran,3jE5B5EvNgZmEw9bnpZMam,kollywood,37,698
Madhan Karky,0MC4IRJmruzbwPInw7vmL7,tamil pop,63,55460
Haricharan,1QvyquqkuuwUzdszyoKIy4,filmi,72,3461268
S.P. Abhishek,0mT8jQ7Apit18Ny3xJ7r9g,,21,1186
Maalavika Sundar,6FziTGxRwHQviQ4uZdSdIP,,37,4891
Silambarasan TR,5Hn84AFwiTEi8eMoI5B9AS,filmi;tamil pop,63,1334495
Anand Aravindakshan,03Q99mwmSqlbQo2iGtpE0g,kollywood;tamil pop,56,103766
Santhosh Dhayanidhi,45W4EDnXayqLZPpJQJAKN3,kollywood;tamil indie;tamil pop,50,97906
Chennai Boys Choir,0qgM0TawICOHoh4eiAs1Mr,,12,17
Rajesh Murugesan,0dbzsYBJZ4XZUcrgts3kWf,mollywood,56,112329
Sunitha Sarathy,5UqyE5tsMWcrOAjOtROW6B,tamil pop;tollywood,58,81136
Mandolin Seenu,2Wuq8f0T8XhQzjPSpMWY0i,,29,187
Chinmayi,5UJ2sHO2ELrgW6aXeRLTQQ,filmi;marathi pop,74,3518706
Pragathi,5ZjYHPK2ChSKoqikhjpgBa,,46,3112
Pradeep,15ClyGUe5g2vllncIC4tp6,tamil pop,70,1725111
Yugabharathi,4kzSv6FtNOoY6s4VFD3L6e,,63,126734
K. J. Yesudas,2wPsNCwhEGb0KvChZ5DD52,filmi;mollywood,73,8449714
Pa. Vijay,1dg4azP3LshEhi3moXgJQv,tamil pop,59,43193
Shankar Mahadevan,1SJOL9HJ08YOn92lFcYf8a,filmi,77,11215585
Chandrabose,7J4yJHUdiGKIzyZJ2DLnkE,,30,38
Nivas,3RN1T82XXhayseL1rCdJnp,tamil pop,59,333853
Jai Srinivas,7yfSzO0uXek2SqAgLPmflT,,20,318
Vanamali,26RVabQo2q3G6wqyO0LnvV,,32,2200
Karthik,0LSPREIgGMZXCuKVel7LVD,filmi,76,4789947
Vennelakanti,2BJEnjcz5E2JuIdpwSXwwQ,,13,64
Bhuvana Chandra,6qJdT7Ol8lHV3I2ONq9hBi,,49,14786
Bole,7K1DEVlWpm4Y5sKRNNoVIZ,,55,11815
Roop Kumar Rathod,03SZmfKAgYRQKUwy0EoJUa,filmi;modern bollywood;sufi,69,4605790
Ananth,73q7QOnwGy6huqoJ9JCRYD,,60,11567
Flute Navin,3apnz04XPisQ04dTfz2Gaw,tamil pop,45,18529
Adnan Sami,0kJO65h553i1iGsZutBuqz,classic pakistani pop;filmi;modern bollywood,64,5604264
Shamitha Malnad,7uDKOVAXsH3aHHM98vWo4u,,44,7268
Shree Mani,3S9UbmvOKXtONgwJOh2Ngh,,61,3723
Navz-47,1COjjFgtQEz2oxPHF6XIuu,tamil hip hop,40,15023
SVDP,1Yk912s46hRDu0aEvLG8WO,,17,3279
Gana Francis,4266Hzvg3Laf0fNQSqNJA4,,12,995
Dhvani Kailas,66wcf4Q64sXblp7ZHTaJC7,,52,16329
Santhosh Hariharan,4nWXekqN93Tx8hJUJwR66n,tamil pop,39,14510
Meenakshi Elayaraja,5daBau8I9vfgnEtu3UzA7M,,39,22006
Anurag Kulkarni,6LWyVEIBnx7MoRBhQxu9om,tollywood,69,2003248
ofRO,3RtVKvAVe2ALaHKOrcaWPr,,13,2
Shan Vincent De Paul,5wkI1gVBWYH1wAZhHBR2dp,,9,200
Meenakshi Santhosh,694qJeY9ibnSYLnhPp1boa,,18,73
Aditya Ravindran,4vbvSJmOoLdFnKI6uWLAJa,,30,326
Dhruv Vikram,6ivte6aFersdzMprXpVDiO,tamil pop,52,44277
Priya Hemesh,1FI8Am7UxI2XLUtFs2jPva,filmi;tamil pop,61,178973
Amira Gill,3ZW8Uj45dj58KkgqkFBLIS,new delhi indie,21,1781
Yj music,1maKfOwnTv3hU5OOEaM1fE,,23,705
Kausar Munir,3GBSge8pq7mpezUQl0GAOA,modern bollywood,74,205792
Radar With a K,0QVJIdBfdAREMQS3mCtCFL,,28,295
Divya Ramani,2xhRiYXpZhTR2qNkhitVaf,,40,3167
Vijaynarain,1QEANF9GtDX4y4fXApJHUi,tamil pop,53,30321
Mayank Kapri,5JGkWSmfTZ8HY9afr7QPiu,,3,17
Pavithra Chari,16IvLiMrXTMDCT1o2btRrG,,46,987
Siddharth,2aqFBHOpM9uIgBpUsdq09x,latin rock;mexican indie,70,1297688
Joe Paul,2d87Ln0p2Bjipl9mzvlA2t,,55,62819
S VIII,1UUAzUIJ1Axh6ozz5ZrJ7k,,25,712
M Pavanjay,7nUFrQHELwmeJtUzTqzd70,,23,666
Santhosh Varma,57muzX4Ow2NbBL4nOa5bvp,mollywood,57,47399
Na.Muthukumar,3xRtandQusLOaCPqLJ0ia2,tamil pop,60,53795
Pramod Maravanthe,2Rb3KxyRqgU3Wa8hGQaIIr,,49,954
Dj Pavan Official,0reYFELIcrAcbsvY7iNYJq,,8,74
Durai,2KL2YZO9GHNOhGbOQ1lNxC,tamil worship,45,81760
V.M. Mahalingam,6mHtkNCvRoFV9XMzvjSF1u,tamil pop,48,25519
Shenbagaraj,4sOq2wyRjNnnYNhpM24NdI,,59,17453
Pavithra Ramesh,7il5dYQBr2FkT6si0u3gmY,,8,20
Karthika Vaidyanathan,6JU9Z6CZZFeOO4pqZUJ3TS,tamil pop,50,34959
Vaigaipuyal Vadivelu,0KRF4VuSjVHpIhaxRk0TZa,,15,1491
Asal Kolar,4uN7BZV1gttGLJL2YXtxxi,,11,1578
Anthakudi Ilayaraja,1admShgbxLv5sOpHseFd0d,,25,7590
Brindha,1xtEfIskJsreKcsNkwO55X,,23,112
Karumathur Manimaaran,1Aw3CE6hRzlmtZ82dDBXJ1,,2,9
STEVIE,7guDJrEfX3qb6FEbdPA5qi,motown;soul,79,6710473
Kidakuzhi Mariyammal,1FcvyZdMkasVx0hbIc6WCg,,35,3621
Gana Muthu,2oyLpdrvnRrkgwc48UZFSx,,43,9140
Isaivani,5QeisthWrXdLXPKSxSSAdL,,32,3735
Gana Ulagam Dharani,45N8QChe58Gqzfrmv4mXe7,,46,4920
Allan Preetham,5fzwyKrgd74RioG5kFNY03,tamil indie,31,4203
GKB,2ZWWCpvC2UE2tJ4iNDiF98,,18,27
Reetha Anthony,0jcGvwANx5Iw9MwEEbUAHu,,19,56
Ramanathapuram Marungan Melam Team,3VjxDqyjS91WwMST8MJF8G,,15,60
Ananthu,2UbN2AxPOv8kc1x4J4SGjc,tamil pop,58,54306
Susha,5R5EUMWsrYDt3ItavrP6C5,nepali indie;nephop,57,454816
Meenakshi Ilayaraja,0jBMruXxlpWxWhWlYGuYY9,,6,349
Vishnu Sukumaran,3HD3DSGY8OTIaKJPqag1qt,,0,4
Savitha Sai,0PWWh1XJ9KDTdv9BksAJH8,,4,102
Sannidhanandhan,1AQjXSwWq2x00Nr5yTI5JQ,,23,468
Renjith Unni,0gwiu2YjENIc80Dw6iaswA,,49,7309
Surmukhi Raman,4zrD4cCcot19HUCFJzWzpQ,,48,8134
Ashwin Sharma,7v7cmwDouWh4Bi9g0L05fz,,20,1802
Divya Ramachandra,2h0hPkKyzZPcLkVqf9fX4c,,8,1
Velu Krishnamurthy,5AXVOtrWRrDFLgEdhYojcl,,0,0
Rapper Ro,1vHdQcMmE2SmWZ7elTA4Em,afrikaans hip hop,15,4464
Govind Vasantha,5AWtJTaoFmLLrPwDR5dLPB,filmi;tamil pop,63,350220
Chinna,23FJvNYt7vCPHtpOQUzDN0,tamil pop,54,94983
Prithika,7DbZCFYS7wM41pG1sqgNA7,,26,279
Yogi Sekar,4n32jWbOVtfNDsOJAGQJcs,tamil pop,44,13906
Fareedha,2goF8OEeYBrhQDDBSWhAXO,,25,74
ADK,6gjAbs229sNHhSskJpQ2mG,,25,759
Brinda,7gfM4rY95Xk5C8A0K6dtbS,,23,9
Vijaynaraian,1gJMXIMjE02fnsSYsKIw82,,0,1
Dr. S.C.Chandilya,5wy7R6coxSKvlYeJcd6bbp,,18,26
Ka Ka Bala,2GzZAv52VCMdVli7QzkteT,polish hip hop;polish trap,70,315617
Vignesh Narayanan,1lSvO0nN0XCmQfOPhL3Oac,,22,25
Kalyani Nair,38ICMLYuHXcYd3HrZiEdds,tamil pop,55,42615
Mariappan,1Z6l9kZg9e6M1bwaB9sRdl,,12,24
Vaikom Vijayalakshmi,1tsy6ph4p6fVETd32Cbpcb,mollywood;tamil pop,59,204991
Puliyankulam Velmayil,2sgYZzc2T2HL7X5CuBM5kS,,11,13
Puliyankulam Kannan,4HGkL8XGReKvLAWqxtrlwe,,11,10
S.J. Surya,7usPquMZFXjaDPMptJ3WdX,tibetan mantra,27,4913
Gana Balachanda,1GH0DojDQJeEKQ4BDMShAL,,50,22347
Ranjani-Gayatri,1yboBrfDMPU8uu5FtjXKuv,carnatic;carnatic vocal;indian classical,28,77477
Ganeshkumar.B,1sYDBZrA6R9WIxT61BA9sb,,5,18
Karuvaayan,7lzYDnDEHRsl9VtHRGZl9h,,34,163
Sathyan,2L5oss58ihgLZWOepBEHbI,kollywood;tamil pop,45,56382
Palakkad Sreeram,7eIZuBIxZK4YmGjJJfqinV,,31,1126
Alphons Joseph,7r6kmDCXWnmTa2Uu1F37qm,filmi;mollywood,43,51604
Darshana,5nfZOPYU4aFJii2PCGALu2,mollywood,45,20501
Gana Bala,6HtEIJH43LAZGQx6iNCqhg,tamil pop,55,215803
Vishal Chandrashekhar,0rL4uL3xfYOt2p7NHhS8qr,tamil pop;tollywood,62,571744
Lalitha Vijaykumar,1U7WlO4O1AD6LbFuLMuqfW,,22,138
Pradeep Vijay,5mMSK46C0fsIeuKZbP5Bxe,,28,613
Roshan Jamrock,2ITH4nPbFeZ2Dj4zAIvl7S,desi hip hop;malaysian hip hop,41,7199
Lawrence R,5rwUYLyUq8gBsVaOUcUxpE,nyc pop;retro soul,59,331664
Suraj Jagan,6eMFGgGDh5iXU1POAK0cpe,filmi;modern bollywood,52,174288
Vasudevan,0qS0rxCY4YfrUx9GCTlDIW,classic kollywood;filmi,67,1557737
Senthil Das,4TTs2WcxJN7SHkit06rSMg,tamil pop,50,20484
Sunder Rajan,0N93FbGeZ4eI7tevQ8EtLd,,11,41
Balaji,6PRnZDNLsPAwsOqMk41XUz,,44,678
Murali,6swIo0iu7c8WtdCzHnNPxS,,45,226
Meenakshi,2mBnZ5nNGP4oTemBJqFNK1,,47,6965
