artist_name
Vrusha Balu
Akash
Alka Ajith
Shibukallar
Kamalaja Rajagopal
Shyam Benjamin
Anjana
Yadhukrishna M
Devu Mathew
Aanandi Joshi
Prashanthini
Arjun Menon
Leslee Lewis
Senthil Ganesh
Ramani Ammal
Darshana K.T.
Shabnam
Nikitha Harris
Pravin Saivi
Ramesh Vinayakam
Solar Sai
Dr. Burn
Abhay Jodhpurkar
Ujjayinee Roy
Marana Gana Viji
Emcee Jesz
Shail Hada
Mili Nair
Mega
Sri Charan
Eden
Kavithai Gundar Emcee Jesz
Steeve Vatz
Gopal Rao
Roshan
Jerry John
Hemanth Kumar
Srinivas Murthy
Prathima Athreya
Vijay Urs
Mark Thomas
Priya Subramanian
Krishna Iyer
Sharmila
Ebisa
M.L.R. Karthikeyan
Suzanne D'Mello
M.K. Balaji
Megha
Jayamoorthy
Sayanora Philip
Charulatha Mani
Vijay
Krishna Teja
Gana Guna
Chennai Chorale
Chennai Orchestra
Suchith Suresan
Hao Wang
Krissy
Sandhya
Feji
Krish
Chandran
Mizta G (Guna)
Rafi
Ramu
Jayalakshmi
Nakkhul
Pranko
Andrea
Madhumitha
Arun
Frango
Ceylon Manohar
Mathangi
L. R. Eswari
Theni Kunjramma
Swarnalatha
Kovai Kamala
Komal Ramesh
DJ Ivan
Febi Mani
Samantha Etlar
Chandrani
Sujatha Rao
Febimani
Chakri
Veturi Sundararama Murthy
Sahithi
Devi Sri Prasad
Junior Nithya
Ku Karthik
Kannan Narayanan
Basha Sri
DJ Samy Hyd
Neha Nair
Vishnu Vijay
Mu.Ri
Bhashyasree
Arun Bharathi
Sangeetha Mahadevan
Vijaykrishnan
Kalaiselvi
AJ Antony
Dinesh
Avvaiyar
Kanagaratnam (Rap)
Vinayak Sasikumar
Sangeetha Rajeshwaran
Sneha
Lock Up
vinay
Maaya
Mahesh Vinayakram
Shoba Chandrasekar
Emcee Jazz
Janaki Iyer
Veera Shankar
Yazin Nizar
Supriya Joshi
Sunandhan
Surchith
Arshith
MK Balaji
Swaminathan
R. N. R. Manohar
Fatima
Annamalai
Mamta Sharma
Emcee Jezz
Mark
Madhumita
Krishan Mahesan
Nidha
Nancy Silviya
Mahalaxmi
Valappakkudi Veera Shankar
Anand
Mahesh
Vinayakaram
Sheba
Kaushik Menon
Christopher
Shoba Chandrasekhar
Vinaya Krishnan
Nitesh Gopalan
Bellie Raj
Vinitha
Pakshi
R. Jeyadev
Jayarajagopalam
Sathya Lakshmi
Jayadev
V.N. Gayathri
Jaidev
Anup
Shoba Sekhar
Uma Magesh
Manickam Vinayagam
Vinnulaga Kavi
Ekadesi
Niru
Sinduri Vishal
Harish Sivaramakrishnan
Karthik Mano
Maya Mahalingam
DJ Dalal
Sugandh Shekar
Raja Ravivarman
Ravi Raj
Madras Miran
Harri Prakash
Shankar
Navakkarai Naveen Prabhanjam
Reshma Shyam
Ko Sesha
Indravathi Chauhan
Yamini Ghantasala
Vagu Mazan
Madhurakavi
Roshini JKV
Stephen Zechariah
Adhik Ravichandran
Keerthana Vaidyanathan
Thummala Mohan kumar
Sithara Krishnakumar
Vishal
Panja Vaishnav Tej
Srikanth N Reddy
Ramajogaiah Sastry
Sri Mani
Sa-Roc
Omar Gooding
Surya Srini
NEJM
Noel Toms
Gnanakaravel
Goutham Vincent
Rimi Tomy
Jeffrey Jonathan
Arafat Mehmood
Patturam Senthil
Schella
Manasvini Gopal
Bhadra Rajin
Arya Dhayal
K. Sivaangi
Robert Sargunam
Balamurali Balu
Srikanth Deva
Narayanan
Aishvarrya
Aditi Rao Hydari
Navakkarai Naveen Prabanjam
Vibin R
Swagatha S Krishnan
Ananya Bhat
Gana Ganesan
Bakkiyam Shankar
Balaji Sri
Dhanunjay Seepana
Christin jos
Bhavani Sre
Julia Gartha
Sindoori
Swagatha S. Krishnan
Madhwesh Bharadwaj
Anirudh Sastry
Keshav Vinod
A. Kiran Shravan
Aishwarya
Meghdeep Bose
C. Sathya
Shireen Shahana
Santhanam
Gana Ulaganathan
Aishwarya R Dhanush
Bharka Swaroop Saxena
Uthara Unnikrishnan
Mc Vkey
Big Nikk
Thenisai Thendral Deva
Balachandran
T.Rajender
Sonu Kakkar
Ken
Grace
Karunas
Priyanka
Namitha Babu
Vedanth
Naveen Kumar
Sanjana Divaker Kalmanje
A. R. Reihana
Vandana Srinivasan
Shravya
Srihari
Zia Ulhaq
Kiran
Chennai Symphony
Yazhini
Mugdha Hasabnis
Sheezay.Psycho Unit
Sulabha
Gowtham
R. Ganesh
Aaryan Dinesh Kanagaratnam
Madhusree
Asvitha
Harish
Ayshwarya
Zia
Augustin choir
V.M.C. Haneefa
M. S. Viswanathan
Nasser
Alphonse
Shalmali Kholgade
Pooja AV
Ajmal Khan
Amrith Viswanath
Latha
Udayabhanu
Sonu Nigam
Neha
Raman Mahadevan
Caroline
Baba Sehgal
Daler Mehndi
Mohammed Irfan Ali
Chiyaan Vikram
Shringa S.
Muralidhar
Hanumantha Rao
Rajesh
Suraj
Mallikarjun
Hamsika Iyer
Lakshmikanth
Pandi
D.A. Srinivas
Neil Mukherjee
Madras Augustin Choir
Shakkthi Vasudevan
Shri Krishna
Afsal
Joshna
Nishad
Alex
Ajay Satyan
Renjini Jose
Shubha Mudgal
Vinitra
Lucky Ali
Deepa Miriam
Harmony
Seergazhi Sivachidhambaram
Palakadu Sriman
Tharun Gopi
Manikka
Sreeram
Adarsh
Benny
Deepa Maria Das
Tarun Gopi
Kumararaja
Sri Ram
Seerkazhi Chidambaram
George Peter
Nidheesh Gopalan
Karisal Karunanidhi
Kottaisami
Dr. Madurai Chandran
Jayapal
Azhaguthai
Viveka
Dj Ravish
Mahesh Babu
Shruthi Haasan
DJ Amit Saxena
Mika Singh
Jaspreet Jasz
Sameera Bharadwaj
Salman Khan
5lowers
Vairamuthu
Sagar
Raagini Kavathekar
Vimal Kashyap
Aaman Trikha
Khushboo Jain
Aabhik Ghosh
Shatadru Kabir
Neha Rajpal
John E
Sidd Coutto
Manoj Mathew
Mankompu Gopalakrishnan
Ninad Kamat
Amitabh Bhattacharya
Lavita Lobo
Sravana Bhargavi
Sivam
Vaishnavi
Vayalar Sarathchandra Varma
Manjari
M. G. Sreekumar
G Venugopal
Magizhini Manimaran
Lakshmi Bhupala
Paroma
Surendra Krishna
Uma Neha
Santosh
V Nagendra Prasad
